Ord1,Ord2,Ord3,HarVerb,Verb
Admiral,Karaffel,Rosin,HarAnsatt,Ansetter
Aften,Karamell,Rot,HarAntatt,Antar
Akt,Karm,Rømme,HarAvbrutt,Avbryter
Al,Kart,Rønne,HarAvholdt,Avholder
Altan,Kartong,Rør,HarBedt,Ber
Ammalgam,Kasserolle,Røre,HarBeståttAv,BestårAv
Anorakk,Katamaran,Røver,HarBistått,Bistår
Aroma,Kateter,Rug,HarBlitt,Blir
Arr,Katt,Ruke,HarBosattSeg,BosetterSeg
Asjett,Kaviar,Rulett,HarBrent,Brenner
Asparges,Kål,Rus,HarBåret,Bærer
Aspik,Kefir,Sabel,HarDratt,Drar
Asyl,Kitt,Saft,HarDrukket,Drikker
Atlas,Kjegle,Sal,HarDrevet,Driver
Atom,Kjekkas,Salme,HarFunnet,Finner
Avl,Kjelke,Salt,HarForegått,Foregår
Avløp,Kjepp,Salve,HarForeslått,Foreslår
Åk,Kjerne,Same,HarForetrukket,Foretrekker
Åker,Kjertel,Sarkofag,HarForlatt,Forlater
Ånd,Kjetting,Sauna,HarForstått,Forstår
Ånde,Kjole,Saus,HarForsvunnet,Forsvinner
Åpning,Kjortel,Savanne,HarFortalt,Forteller
Åre,Kjos,Såpe,HarFortsatt,Fortsetter
Balje,Kjøkken,Seddel,HarFrosset,Fryser
Balkong,Kjøl,Sekk,HarFulgt,Følger
Ball,Kjønn,Seminar,HarFått,Får
Ballett,Kladd,Sennep,HarGitt,Gir
Balsam,Klang,Sepe,HarGjeldt,Gjelder
Bamse,Klase,Serum,HarGjort,Gjør
Banan,Klatt,Serviett,HarGrått,Gråter
Banjo,Kli,Sete,HarGått,Går
Bark,Klimaks,Seter,HarHatt,Har
Barm,Klink,Sevje,HarHengt,Henger
Barsel,Kliss,Sigd,HarHett,Heter
Bart,Klogg,Sikkel,HarHjulpet,Hjelper
Basseng,Klor,Sil,HarHoldt,Holder
Bast,Klov,Silo,HarInnebåret,Innebærer
Bataljon,Klovn,Siv,HarInnsett,Innser
Batteri,Kløe,Sjakt,HarInntruffet,Inntreffer
Baug,Kløne,Sjark,HarKommet,Kommer
Bavian,Klump,Sjarm,HarLatt,Lar
Båt,Klut,Sjy,HarLedd,Ler
Bær,Klype,Skabb,HarLett,Leter
Beger,Klyse,Skaft,HarLagt,Legger
Bekken,Knagg,Skalk,HarLigget,Ligger
Belg,Knaus,Skalle,HarLøpt,Løper
Betennelse,Kne,Skammel,HarMottatt,Mottar
Bibel,Knekt,Skandale,HarMøtt,Møter
Bidé,Knep,Skål,HarNytt,Nyter
Bihule,Knokkel,Skinn,HarOppgitt,Oppgir
Bind,Knopp,Skipper,HarPlanlagt,Planlegger
Binne,Knute,Skje,HarRukket,Rekker
Bissel,Knyst,Skjerm,HarRent,Renner
Bjelke,Kobbel,Sklerose,HarSett,Ser
Bjelle,Koffert,Sklie,HarSolgt,Selger
Blære,Komma,Skodde,HarSagt,Sier
Blei,Kompott,Skonnert,HarSittet,Sitter
Bleie,Kongle,Skorpe,HarSkjelvet,Skjelver
Blekk,Konstabel,Skorstein,HarSkrevet,Skriver
Blemme,Kopp,Skøy,HarSkutt,Skyter
Blest,Kork,Skralle,HarSluppet,Slipper
Blink,Kors,Skrål,HarSlått,Slår
Blod,Korsett,Skrin,HarSovet,Sover
Blødme,Kos,Skritt,HarSprettet,Spretter
Bluse,Kost,Skrog,HarSpurt,Spør
Blyant,Krage,Skrott,HarStått,Står
Boble,Krås,Skum,HarTatt,Tar
Bog,Kreft,Skurk,HarTilbrakt,Tilbringer
Boms,Krem,Skute,HarTilbudt,Tilbyr
Bonus,Krill,Skvett,HarTilsatt,Tilsetter
Bor,Krim,Skvulp,HarTruffet,Treffer
Borg,Kringle,Slam,HarTort/Turt,Tør
Bøddel,Krom,Slange,HarUtgitt,Utgir
Bølge,Krone,Slarv,HarValgt,Velger
Bøtte,Krukke,Slegge,HarVisst,Vet
Bøye,Krutong,Slim,HarVært,Er
Bram,Krydder,Slintre,HarØdelagt,Ødelegger
Brask,Kube,Slott,HarAnket,Anker
Bråte,Kull,Slør,HarAnskaffet,Anskaffer
Brem,Kultur,Sløyd,HarAvsluttet,Avslutter
Bresj,Yngel,Slurk,HarBadet,Bader
Brett,Kumle,Sluse,HarBehersket,Behersker
Brille,Kumpan,Smak,HarBeklaget,Beklager
Brissel,Kupp,Smekk,HarBekymretSeg,BekymrerSeg
Brodd,Kuppel,Sminke,HarBenyttet,Benytter
Brokk,Kurtasje,Smitte,HarBlandet,Blander
Brunst,Kurv,Smør,HarChattet,Chatter
Brus,Kurve,Smøring,HarDanset,Danser
Brusk,Kusine,Smørje,HarDekket,Dekker
Bryl,Kusk,Smug,HarDusjet,Dusjer
Bryter,Kusma,Smule,HarDyrket,Dyrker
Buk,Kuvøse,Smult,HarElsket,Elsker
Bukk,Kvalme,Smuss,HarErtet,Erter
Bukt,Kveg,Snabb,HarFeiret,Feirer
Bul,Kveil,Snabel,HarFlyktet,Flykter
Bunn,Kvige,Snerk,HarFlyttet,Flytter
Burka,Kvise,Snert,HarForandret,Forandrer
Buse,Kyse,Snile,HarForelsketSeg,ForelskerSeg
Byll,Kyss,Snor,HarForhindret,Forhindrer
Bysse,Lake,Snorkel,HarForstyrret,Forstyrrer
Daddel,Lakei,Snøre,HarForurenset,Forurenser
Dam,Laken,Snørr,HarGiftetSeg,GifterSeg
Dåre,Lakk,Snue,HarGledet,Gleder
Dåse,Lam,Snus,HarGrenset,Grenser
Degge,Lampe,Sokk,HarGrillet,Griller
Deig,Lampett,Sokkel,HarGrublet,Grubler
Dekken,Lanse,Sorbet,HarHandlet,Handler
Diadem,Lanterne,Sødme,HarHatet,Hater
Dill,Lapp,Søle,HarHentet,Henter
Dilla,Lapskaus,Sørpe,HarHusket,Husker
Diplom,Lår,Søyle,HarHvisket,Hvisker
Diplomat,Ledning,Spade,HarHåpet,Håper
Disippel,Lefse,Spake,HarInnvirket,Innvirker
Divan,Legeme,Spann,HarIntervjuet,Intervjuer
Dobb,Legg,Sparkel,HarJobbet,Jobber
Dolp,Lekkasje,Speil,HarKastet,Kaster
Dont,Lekter,Spekk,HarKlaget,Klager
Dor,Lektor,Spelt,HarKlappet,Klapper
Dorg,Lem,Spenne,HarKoblet,Kobler
Dørk,Leppe,Spiker,HarKostet,Koster
Drage,Lerke,Spinat,HarKranglet,Krangler
Drakt,Lerret,Spindel,HarLaget,Lager
Drenasje,Lesk,Spion,HarLagret,Lagrer
Dreng,Lest,Spiral,HarLatt,Later
Dresin,Liane,Spire,HarLesset,Lesser
Dressing,Liga,Sport,HarLiknet,Likner
Drops,Linjal,Sprekk,HarLosset,Losser
Drøs,Lisse,Sprøyt,HarLuktet,Lukter
Drøvel,List,Spytt,HarLyttet,Lytter
Drue,Lo,Stabbur,HarManglet,Mangler
Drunse,Lomme,Stake,HarMerket,Merker
Dryss,Los,Stamme,HarMistet,Mister
Due,Løve,Stamp,HarMobbet,Mobber
Duft,Lugar,Stang,HarNikket,Nikker
Dugg,Lugg,Stappe,HarNærmet,Nærmer
Dunst,Lukt,Stativ,HarOmfavnet,Omfavner
Dur,Lunge,Staude,HarOppmuntret,Oppmuntrer
Dus,Lunte,Staur,HarOpprettet,Oppretter
Dusj,Lupe,Stav,HarOrket,Orker
